src_lead_id,system_id,src_branch_id,brand_id,product_of_interest,brand,branch_name,region,site_group,enterprise_ad_category,enterprise_ad_sub_category,entp_customer_id,entp_entity_id,match_type,Customer_Name,Customer_Email,Customer_Email_Normalized,Customer_Phone,Customer_Address_1,Customer_City,Customer_State,Customer_Zip_Postal,Customer_Country,customer_mapping,customer_count,Lead_Created_Date,First_Set_Date,First_Appointment_Date,First_Meet_Date,First_Booked_Date,Cancel_Date,Install_Date,Raw_Leads,Opps,Speed_2_Meet,Meets,Jobs_Sold_Gross,Bookings_Gross,Financed_Amount,Finance_Turndown,Finance_Turndown_Amount,Jobs_Cancelled,Bookings_Cancel,Installed_Jobs,Revenue,appt_statuses,appt_ids,setby_user_ids,meet_appt_statuses,meet_appt_ids,contract_ids,sales_rep_ids,product_ids,finance_plan_ids,cancel_reasons,cancel_contract_ids,cancel_finance_plan_ids,cancel_product_ids,job_ids,rev_contract_ids,rev_product_ids,installer_ids
647765,UWD_LeadPerfection,CLE,UWD,Door,Universal Windows Direct,Cleveland,None,Legacy,Telemarketing,Call In,6.328E+18,fffff77ab8f2ed99d2fed9337311df9aeab39874708de7d217bc01704ddf556f,no_match,Allison Hill,donaldgarcia@example.net,donaldgarcia@example.net,3389083863,402 Peterson Drives Apt. 511,Davisstad,PA,35172,null,"[{""customer_id"":""337885"",""system_id"":""UWD_LeadPerfection""}]",1,2022-01-03 12:03:22,2022-01-03 12:03:44,2022-01-03 13:30:00,2022-01-03 13:30:00,2022-01-03 00:00:00,null,2022-09-28 00:00:00,1,1,0,1,1,3121,null,0,null,null,null,1,3121,"[""Contract Signed""]","[""468702""]","[""2283""]","[""Contract Signed""]","[""468702""]","[""429862""]","[""3591""]","[""SGD""]","[""0""]",null,null,null,null,"[""103656""]","[""429862""]","[""SGD""]","[""509""]"
497518,UWD_LeadPerfection,CLE,UWD,Windows,Universal Windows Direct,Cleveland,None,Legacy,Telemarketing,Call In,6.328E+18,fffff77ab8f2ed99d2fed9337311df9aeab39874708de7d217bc01704ddf556f,no_match,Monica Herrera,smiller@example.net,smiller@example.net,3413164752,3419 Amanda Gardens Apt. 764,Lake Mark,WI,07832,null,"[{""customer_id"":""337885"",""system_id"":""UWD_LeadPerfection""}]",1,2020-08-03 11:26:03,2020-08-03 11:32:00,2020-08-03 13:30:00,2020-08-03 13:30:00,2020-08-03 00:00:00,null,2024-08-27 00:00:00,1,1,0,1,1,6500,null,0,null,null,null,1,6500,"[""Contract Signed""]","[""347053""]","[""2678""]","[""Contract Signed""]","[""347053""]","[""410926""]","[""3051""]","[""Windows""]","[""7""]",null,null,null,null,"[""80444""]","[""410926""]","[""Windows""]","[""20""]"
386012,UWD_LeadPerfection,CLE,UWD,Windows,Universal Windows Direct,Cleveland,None,Legacy,TV,CLE: FOX 8 WJW,6.328E+18,fffff77ab8f2ed99d2fed9337311df9aeab39874708de7d217bc01704ddf556f,no_match,Andrew Stewart,carl95@example.org,carl95@example.org,2423884969,3287 Katelyn Wall Apt. 226,South Patrickmouth,NC,33454,null,"[{""customer_id"":""337885"",""system_id"":""UWD_LeadPerfection""}]",1,2019-10-10 15:48:52,2019-10-10 15:51:51,2019-10-10 19:00:00,2019-10-10 19:00:00,2019-10-10 00:00:00,null,2021-07-15 00:00:00,1,1,0,1,1,5400,null,0,null,null,null,1,5400,"[""Contract Signed""]","[""276952""]","[""684""]","[""Contract Signed""]","[""276952""]","[""399433""]","[""979""]","[""Windows""]","[""7""]",null,null,null,null,"[""66491""]","[""399433""]","[""Windows""]","[""125""]"
645953,UWD_LeadPerfection,CLE,UWD,Door,Universal Windows Direct,Cleveland,None,Legacy,Telemarketing,Call In,6.328E+18,fffff77ab8f2ed99d2fed9337311df9aeab39874708de7d217bc01704ddf556f,no_match,Shannon Smith,maldonadoamanda@example.com,maldonadoamanda@example.com,0482814893,2880 Burns Creek,Natashaport,IA,08093,null,"[{""customer_id"":""337885"",""system_id"":""UWD_LeadPerfection""}]",1,2021-12-22 16:44:06,2021-12-22 16:45:02,2021-12-22 19:00:00,2021-12-22 19:00:00,null,2021-12-23 09:15:09,null,1,1,0,1,null,null,null,null,null,1,2814,null,null,"[""Contract Signed""]","[""467557""]","[""1131""]","[""Contract Signed""]","[""467557""]",null,null,null,null,[],"[""NEW""]","[""0""]","[""Windows""]",null,null,null,null
a0fal000004axrGAAQ,YHIC_i360,Bloomington,YHIC,Windows,Your Home Improvement Company,Bloomington,East,null,Lead Aggregator,Porch,-6.19753E+18,fffff5bdbcc3a8e9c41c4f44db2aaf83ddf199563033197d15022fa67505e3e0,no_match,Keith Miller,wcabrera@example.net,wcabrera@example.net,2489638346,8713 Caleb Brooks Apt. 930,Lake Crystalbury,CA,04618,USA,"[{""customer_id"":""001al00001jOhTcAAK"",""system_id"":""YHIC_i360""}]",1,2019-01-30 00:00:00,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3335603,LG_Centah,2697,LG,84,LeafGuard,Memphis,South,2020,Lead Aggregator,Modernize,1.74749E+17,fffff2da9af2b2a3b3bf2577b37c246a0b1c7a3ebbb9ddb45c786974f5f60d25,no_match,Andrea Young,ilewis@example.net,ilewis@example.net,3116566701,5133 Amanda Dam,Whitemouth,IA,10381,USA,"[{""customer_id"":""3335603"",""system_id"":""LG_Centah""}]",1,2023-06-01 08:55:08,2023-06-01 08:55:08,null,null,null,null,null,1,1,null,null,null,null,null,null,null,null,null,null,null,"[""Cancelled During Qualification""]","[""3335603""]","[""30536""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null
50622cdd-9d33-ea11-a813-000d3a31eed2,Champion_CE,76a6eefe-8191-e811-813f-3863bb36dd00,CHMP,e45e111f-b590-e811-8137-3863bb35bfb8,Champion,Denver,West,Legacy,PC-REP,PC-REP,1.84756E+18,ffffe41aa09b6d60466f6f65e39054cfa1e7a2311a94049090d441ec38b5acc5,no_match,Scott Pierce,pearsonamber@example.org,pearsonamber@example.org,6773602606,4687 James Forge Apt. 980,Brianshire,NJ,66410,USA,"[{""customer_id"":""559c6fca-132f-ea11-a810-000d3a31ebeb"",""system_id"":""Champion_CE""}]",1,2020-01-10 11:39:38,2019-07-16 18:43:36,2019-07-16 10:00:00,2019-07-16 10:00:00,2020-01-10 14:25:11,null,2019-08-20 02:00:00,1,1,0,1,1,1005,null,0,null,null,null,1,1005,"[""Won""]",[],[],"[""Won""]",[],"[""007b3c00-b533-ea11-a813-000d3a31e53d""]","[""John Noonan""]",[],[],null,null,null,null,[],"[""007b3c00-b533-ea11-a813-000d3a31e53d""]",[],[]
40622cdd-9d33-ea11-a813-000d3a31eed2,Champion_CE,76a6eefe-8191-e811-813f-3863bb36dd00,CHMP,e45e111f-b590-e811-8137-3863bb35bfb8,Champion,Denver,West,Legacy,PC - OL CS,PC - OL CS,1.84756E+18,ffffe41aa09b6d60466f6f65e39054cfa1e7a2311a94049090d441ec38b5acc5,no_match,Kim Brown,yorkcasey@example.org,yorkcasey@example.org,3990916998,3534 Anderson Rue Suite 751,South Christineshire,CT,10103,USA,"[{""customer_id"":""559c6fca-132f-ea11-a810-000d3a31ebeb"",""system_id"":""Champion_CE""}]",1,2020-01-10 11:39:37,2019-05-20 13:57:46,2019-05-24 18:00:00,2019-05-24 18:00:00,2020-01-10 14:23:04,null,2019-07-22 02:00:00,1,1,4,1,1,4545,null,0,null,null,null,1,4545,"[""Won""]",[],[],"[""Won""]",[],"[""cb78ebb0-b433-ea11-a813-000d3a31ebeb""]","[""John Noonan""]",[],[],null,null,null,null,[],"[""cb78ebb0-b433-ea11-a813-000d3a31ebeb""]",[],[]
15bdda3c-762f-ea11-a810-000d3a31e89e,Champion_CE,76a6eefe-8191-e811-813f-3863bb36dd00,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Denver,West,Legacy,Migrated-LeadSo,Migrated-LeadSo,1.84756E+18,ffffe41aa09b6d60466f6f65e39054cfa1e7a2311a94049090d441ec38b5acc5,no_match,Katie Anderson,nicole35@example.com,nicole35@example.com,9808412411,4935 Grace Walk,Williamview,MH,07159,USA,"[{""customer_id"":""559c6fca-132f-ea11-a810-000d3a31ebeb"",""system_id"":""Champion_CE""}]",1,2020-01-05 04:45:55,2014-12-02 02:04:38,2014-09-30 21:00:00,2014-09-30 21:00:00,2020-01-08 10:53:47,null,2015-01-28 03:00:00,1,1,null,1,1,12919,null,0,null,null,null,1,12919,"[""Won""]",[],[],"[""Won""]",[],"[""03771920-0532-ea11-a810-000d3a31e53d""]","[""Greg Sternitzke""]",[],[],null,null,null,null,[],"[""03771920-0532-ea11-a810-000d3a31e53d""]",[],[]
090877b8-ef30-ea11-a810-000d3a31ebeb,Champion_CE,76a6eefe-8191-e811-813f-3863bb36dd00,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Denver,West,Legacy,EV-Home Show,EV-Home Show,1.84756E+18,ffffe41aa09b6d60466f6f65e39054cfa1e7a2311a94049090d441ec38b5acc5,no_match,Jeff Hill,cookdavid@example.com,cookdavid@example.com,8011280598,2045 Rachel Fords,Lake Curtis,WI,73886,USA,"[{""customer_id"":""559c6fca-132f-ea11-a810-000d3a31ebeb"",""system_id"":""Champion_CE""}]",1,2020-01-07 01:48:03,2014-09-20 22:00:00,2014-09-29 22:00:00,2014-09-29 22:00:00,2020-01-07 16:21:09,2014-09-29 22:00:00,null,1,1,9,1,1,12919,null,0,null,1,12919,1,12919,"[""Won""]",[],[],"[""Won""]",[],"[""3fe5bdb2-6931-ea11-a810-000d3a31e89e""]","[""Greg Sternitzke""]",[],[],[],"[""3fe5bdb2-6931-ea11-a810-000d3a31e89e""]",[],[],[],"[""3fe5bdb2-6931-ea11-a810-000d3a31e89e""]",[],[]
